indicator,nonnull_cells
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",68
Electric power transmission and distribution losses (% of output),68
Total greenhouse gas emissions excluding LULUCF (% change from 1990),68
Combustible renewables and waste (% of total energy),68
"Primary education, pupils (% female)",68
Export volume index (2015 = 100),68
"Labor force participation rate, total (% of total population ages 15+) (national estimate)",68
Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),68
Alternative and nuclear energy (% of total energy use),68
Net barter terms of trade index (2015 = 100),68
"Industry (including construction), value added per worker (constant 2015 US$)",68
"Secondary education, pupils",67
"Unemployment, total (% of total labor force) (national estimate)",67
"Unemployment, male (% of male labor force) (national estimate)",67
"School enrollment, secondary (% gross)",67
"Unemployment, female (% of female labor force) (national estimate)",67
Fossil fuel energy consumption (% of total),67
Medium and high-tech manufacturing value added (% manufacturing value added),66
"PPP conversion factor, private consumption (LCU per international $)",66
"Households and NPISHs Final consumption expenditure per capita, PPP (constant 2021 international $)",66
"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)",66
"Employment to population ratio, 15+, female (%) (national estimate)",66
"Energy imports, net (% of energy use)",66
"Electricity production from oil, gas and coal sources (% of total)",66
"Pupil-teacher ratio, tertiary",66
"Employment to population ratio, 15+, total (%) (national estimate)",66
"Employment to population ratio, 15+, male (%) (national estimate)",66
Medium and high-tech exports (% manufactured exports),66
"Households and NPISHs Final consumption expenditure per capita, PPP (current international $)",65
"Armed forces personnel, total",65
Price level index (Households and NPISHs Final consumption expenditure),65
Households and NPISHs final consumption expenditure: linked series (current LCU),65
"School enrollment, preprimary, male (% gross)",65
"Households and NPISHs Final consumption expenditure, PPP (current international $)",65
"School enrollment, preprimary, female (% gross)",65
Electricity production from nuclear sources (% of total),64
Individuals using the Internet (% of population),64
Renewable electricity output (% of total electricity output),64
"Electricity production from renewable sources, excluding hydroelectric (kWh)",64
Adjusted savings: carbon dioxide damage (% of GNI),64
Adjusted savings: carbon dioxide damage (current US$),64
Renewable energy consumption (% of total final energy consumption),64
"Pupil-teacher ratio, preprimary",64
"Listed domestic companies, total",64
Adjusted savings: particulate emission damage (% of GNI),64
"Electricity production from renewable sources, excluding hydroelectric (% of total)",64
Adjusted savings: particulate emission damage (current US$),64
"School enrollment, tertiary, male (% gross)",63
Market capitalization of listed domestic companies (current US$),63
"School enrollment, tertiary, female (% gross)",63
